class_number,class_name
13,13-Restricted Mexican Church Planting
5,FUNDRAISING:5 FR/Mktg
1,G&A:1 Admin/Personnel
2,G&A:2 Operations
3,G&A:3 Legal
6,G&A:6 Financial
7,ORPHANAGE:7 Orph Programs
7.5,ORPHANAGE:7.5 Infant Orphanage
8,ORPHANAGE:8 Chapel
9,ORPHANAGE:9 Education
12,PROJECT MEXICO:12-FOrCE
4.2,PROJECT MEXICO:4 Development:4.2 Farm Agg Animal
4.3,PROJECT MEXICO:4 Development:4.3 Home Building
4.7,PROJECT MEXICO:4 Development:4.7 Interns-All Types
4.8,PROJECT MEXICO:4 Development:4.8 Tiendita
